filename,category,modality,condition,relative_path,source
01_hose_body_rgb_leak.jpg,hose_body,rgb,leak,rgb/01_hose_body_rgb_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
01_hose_body_rgb_no_leak.jpg,hose_body,rgb,leak,rgb/01_hose_body_rgb_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
01_hose_body_uv_leak.jpg,hose_body,uv,leak,uv/01_hose_body_uv_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
01_hose_body_uv_no_leak.jpg,hose_body,uv,leak,uv/01_hose_body_uv_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
02_hose_fitting_rgb_leak.jpg,hose_fitting,rgb,leak,rgb/02_hose_fitting_rgb_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
02_hose_fitting_rgb_no_leak.jpg,hose_fitting,rgb,leak,rgb/02_hose_fitting_rgb_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
02_hose_fitting_uv_leak.jpg,hose_fitting,uv,leak,uv/02_hose_fitting_uv_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
02_hose_fitting_uv_no_leak.jpg,hose_fitting,uv,leak,uv/02_hose_fitting_uv_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
03_pipe_joint_rgb_leak.jpg,pipe_joint,rgb,leak,rgb/03_pipe_joint_rgb_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
03_pipe_joint_rgb_no_leak.jpg,pipe_joint,rgb,leak,rgb/03_pipe_joint_rgb_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
03_pipe_joint_uv_leak.jpg,pipe_joint,uv,leak,uv/03_pipe_joint_uv_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
03_pipe_joint_uv_no_leak.jpg,pipe_joint,uv,leak,uv/03_pipe_joint_uv_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
04_cylinder_seal_rgb_leak.jpg,cylinder_seal,rgb,leak,rgb/04_cylinder_seal_rgb_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
04_cylinder_seal_rgb_no_leak.jpg,cylinder_seal,rgb,leak,rgb/04_cylinder_seal_rgb_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
04_cylinder_seal_uv_leak.jpg,cylinder_seal,uv,leak,uv/04_cylinder_seal_uv_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
04_cylinder_seal_uv_no_leak.jpg,cylinder_seal,uv,leak,uv/04_cylinder_seal_uv_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
05_valve_manifold_rgb_leak.jpg,valve_manifold,rgb,leak,rgb/05_valve_manifold_rgb_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
05_valve_manifold_rgb_no_leak.jpg,valve_manifold,rgb,leak,rgb/05_valve_manifold_rgb_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
05_valve_manifold_uv_leak.jpg,valve_manifold,uv,leak,uv/05_valve_manifold_uv_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
05_valve_manifold_uv_no_leak.jpg,valve_manifold,uv,leak,uv/05_valve_manifold_uv_no_leak.jpg,a_high_detail_collage_quad_layout_image_like_a_dat.png
